run_id,timestamp_utc,algorithm_id,suite_name,instance_name,instance_type,instance_path,seed,improve_iterations,depot_count,customer_count,salesman_count,return_to_depot,objective,feasible,status,route_count,wall_time_us,wall_time_ms,wall_time_s,wall_time_per_customer_us,is_success,is_comparable,is_objective_comparable,is_time_comparable,best_observed_objective,gap_to_best_observed,is_best_observed,fastest_observed_wall_time_us,fastest_observed_wall_time_ms,time_ratio_to_fastest,time_gap_to_fastest,is_fastest_observed,result_file
20260506T005728Z__research_until_25000__nearest_neighbour__g01_i01_c10_d1_m3_random__seed_42__3c6f54ee967a,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_01_customers_10_depots_1_salesmen_3_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i01_c10_d1_m3_random.json,42,0,1,10,3,True,6231.034288642259,True,ok,3,100,0.1,0.0001,10.0,True,True,True,True,2880.8864214080195,1.1628878675462917,False,7,0.007,14.285714285714286,13.285714285714286,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i01_c10_d1_m3_random/20260506T005728Z__research_until_25000__nearest_neighbour__g01_i01_c10_d1_m3_random__seed_42__3c6f54ee967a.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i02_c10_d1_m3_random__seed_42__98fa1ddb3ac8,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_02_customers_10_depots_1_salesmen_3_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i02_c10_d1_m3_random.json,42,0,1,10,3,True,6559.388241656347,True,ok,3,31,0.031,3.1e-05,3.1,True,True,True,True,2779.77408637514,1.359683930362079,False,8,0.008,3.875,2.875,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i02_c10_d1_m3_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i02_c10_d1_m3_random__seed_42__98fa1ddb3ac8.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i03_c10_d2_m6_random__seed_42__6df58036e153,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_03_customers_10_depots_2_salesmen_6_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i03_c10_d2_m6_random.json,42,0,2,10,6,True,8037.508288975218,True,ok,6,10,0.01,1e-05,1.0,True,True,True,True,2973.472263507747,1.7030715529505318,False,10,0.01,1.0,0.0,True,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i03_c10_d2_m6_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i03_c10_d2_m6_random__seed_42__6df58036e153.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i04_c10_d2_m5_random__seed_42__99441b762cec,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_04_customers_10_depots_2_salesmen_5_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i04_c10_d2_m5_random.json,42,0,2,10,5,True,4972.128869360609,True,ok,5,23,0.023,2.3e-05,2.3,True,True,True,True,3172.7665995950247,0.5671272100491909,False,6,0.006,3.8333333333333335,2.8333333333333335,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i04_c10_d2_m5_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i04_c10_d2_m5_random__seed_42__99441b762cec.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i05_c10_d2_m4_random__seed_42__cc709894ca10,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_05_customers_10_depots_2_salesmen_4_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i05_c10_d2_m4_random.json,42,0,2,10,4,True,4464.409554278016,True,ok,4,14,0.014,1.4e-05,1.4,True,True,True,True,3111.6988237915116,0.43471775614783537,False,4,0.004,3.5,2.5,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i05_c10_d2_m4_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i05_c10_d2_m4_random__seed_42__cc709894ca10.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i06_c10_d3_m4_random__seed_42__30779c289c94,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_06_customers_10_depots_3_salesmen_4_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i06_c10_d3_m4_random.json,42,0,3,10,4,True,3622.6717098427434,True,ok,4,8,0.008,8e-06,0.8,True,True,True,True,3039.240692424167,0.19196604562214484,False,6,0.006,1.3333333333333333,0.3333333333333333,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i06_c10_d3_m4_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i06_c10_d3_m4_random__seed_42__30779c289c94.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i07_c10_d3_m5_random__seed_42__2002bdb72fd1,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_07_customers_10_depots_3_salesmen_5_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i07_c10_d3_m5_random.json,42,0,3,10,5,True,3227.262195063634,True,ok,5,17,0.017,1.7e-05,1.7,True,True,True,True,3128.669721317914,0.031512586027837096,False,6,0.006,2.8333333333333335,1.8333333333333333,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i07_c10_d3_m5_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i07_c10_d3_m5_random__seed_42__2002bdb72fd1.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i08_c10_d2_m2_random__seed_42__6a077f246743,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_08_customers_10_depots_2_salesmen_2_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i08_c10_d2_m2_random.json,42,0,2,10,2,True,3372.6782187537583,True,ok,2,5,0.005,5e-06,0.5,True,True,True,True,2945.776395409726,0.14491996881000704,False,5,0.005,1.0,0.0,True,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i08_c10_d2_m2_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i08_c10_d2_m2_random__seed_42__6a077f246743.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i09_c10_d3_m3_random__seed_42__6a981815843a,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_09_customers_10_depots_3_salesmen_3_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i09_c10_d3_m3_random.json,42,0,3,10,3,True,2867.4090764150046,True,ok,3,7,0.007,7e-06,0.7,True,True,True,True,2492.6167654443693,0.15036098455504832,False,6,0.006,1.1666666666666667,0.16666666666666666,False,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i09_c10_d3_m3_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i09_c10_d3_m3_random__seed_42__6a981815843a.json
20260506T005729Z__research_until_25000__nearest_neighbour__g01_i10_c10_d1_m1_random__seed_42__7adcdea62257,2026-05-06T00:57:29Z,nearest_neighbour,research_until_25000,group_01_instance_10_customers_10_depots_1_salesmen_1_random,random,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i10_c10_d1_m1_random.json,42,0,1,10,1,True,2796.323341731423,True,ok,1,6,0.006,6e-06,0.6,True,True,True,True,2346.775519352508,0.19155978860003978,False,6,0.006,1.0,0.0,True,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/nearest_neighbour/research/group_01/g01_i10_c10_d1_m1_random/20260506T005729Z__research_until_25000__nearest_neighbour__g01_i10_c10_d1_m1_random__seed_42__7adcdea62257.json
